Thousands,Total,HDBDwellings_Total2,HDBDwellings_1_And2_RoomFlats3,HDBDwellings_3_RoomFlats,HDBDwellings_4_RoomFlats,HDBDwellings_5_RoomAndExecutiveFlats,CondominiumsAndOtherApartments,LandedProperties,Others
Total,1225.3,981.1,68.8,223.4,392.3,295.8,170.8,69.2,4.2
No Working Person,118.8,98.3,20.3,33.5,27.9,16.4,12.3,8,0.3
"Below 1,000",24,21.7,7.3,6.7,5.3,2.4,1.4,0.7,0.2
"1,000 - 1,499",36.4,34.6,10.4,11,9.7,3.4,0.9,0.7,0.2
"1,500 - 1,999",33.6,31.8,6.7,11.7,9.6,3.8,1,0.6,0.2
"2,000 - 2,499",37.4,34.5,5.6,12.2,12.5,4.2,1.9,0.8,0.2
"2,500 - 2,999",33.2,30.7,4,10.3,11.8,4.7,1.5,0.9,0.1
"3,000 - 3,499",33.7,30.9,3,10.4,12.7,4.8,2.1,0.8,0
"3,500 - 3,999",34,30.3,2.4,10.4,11.5,6,2.7,0.8,0.2
"4,000 - 4,499",38.9,35.1,2,10.8,15.8,6.5,2.5,1,0.2
"4,500 - 4,999",33.3,30.5,1.1,9.6,14.2,5.6,2.1,0.7,0.1
"5,000 - 5,999",69.4,62.8,2,16.9,30.3,13.6,5,1.3,0.2
"6,000 - 6,999",70.8,65.2,1.7,16.8,30.7,16,3.9,1.4,0.2
"7,000 - 7,999",65.4,58.8,0.6,11.8,28.7,17.7,4.7,1.8,0.1
"8,000 - 8,999",65,57,0.7,11,25.8,19.4,6.1,1.7,0.1
"9,000 - 9,999",58.6,51.1,0.3,8.2,23.9,18.6,5.3,1.7,0.4
"10,000 - 10,999",52.7,44.1,0.2,6.8,20.6,16.4,6.9,1.6,0.1
"11,000 - 11,999",46.9,39.3,0.1,4.7,18.1,16.5,5.8,1.7,0.2
"12,000 - 12,999",43.8,35.4,0.1,4.1,14.8,16.3,6.2,1.8,0.4
"13,000 - 13,999",36.8,30.2,0,3.4,12.4,14.3,5.4,1.1,0.1
"14,000 - 14,999",33.6,25.8,0,2.5,11.3,12.1,6.1,1.6,0.1
"15,000 - 17,499",63.5,46.6,0,4.5,17.9,24.2,13.2,3.7,0
"17,500 - 19,999",46.9,30.7,0,2.6,10.9,17.2,11.7,4.3,0.2
"20,000 & Over",148.6,55.7,0.1,3.5,16.2,35.7,62,30.6,0.3
